District Name,Mandal Name,School code,School Name,Enrol,"Now
proposed to
release 100%
amount","General
component
(2202-01-001-15-05-500-503)","SC
component
(2202-01-789-15-05-500-503)","ST
component
(2202-01-796-15-05-500-503)"
ADILABAD,ADILABAD (RURAL),36010800101,MPUPS JAMDAPUR,63,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010800401,MPPS POCHARA,70,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010800402,ZPHS POCHARA,138,50000,36000,8500,5500
ADILABAD,ADILABAD (RURAL),36010800601,MPPS RAMPOOR(P),41,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010800701,MPPS BHEEMSERI,80,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010800702,ZPHS BHEEMSERI,115,50000,36000,8500,5500
ADILABAD,ADILABAD (RURAL),36010800801,MPPS CHANDA,161,50000,36000,8500,5500
ADILABAD,ADILABAD (RURAL),36010800802,ZPHS CHANDA,138,50000,36000,8500,5500
ADILABAD,ADILABAD (RURAL),36010801001,MPPS LANDASANGVI,93,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010801003,ZPHS LANDASANGVI,74,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010801201,MPPS ARLI (B),49,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010801402,MPPS SHIVAGHAT,13,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010801701,MPPS YAPALGUDA,308,75000,54000,12750,8250
ADILABAD,ADILABAD (RURAL),36010801702,MPPS KOTHA GUDA,38,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010801704,TWPS MATHADIGUDA,21,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010801901,TWPS CHITYALBORI,19,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010801902,MPUPS KACHKANTI,87,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010802003,MPUPS TANTOLI,95,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010802201,TWPS BHURNOOR,18,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010802302,MPUPS LOKARI,52,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010802401,MPPS ANKOLI,172,50000,36000,8500,5500
ADILABAD,ADILABAD (RURAL),36010802404,ZPHS ANKOLI,294,75000,54000,12750,8250
ADILABAD,ADILABAD (RURAL),36010802608,TW ASHRAM HIGH SCHOOL BOYS CHINCHUGHAT,155,50000,36000,8500,5500
ADILABAD,ADILABAD (RURAL),36010802611,MPPS K B COLONY,11,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010802613,MPPS MALEBORIGAON,16,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010802614,MPPS ANKAPOOR,35,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010802618,TWPS NEW CHINCHUGHAT,56,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010802801,TWPS ASODA,16,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010802901,TWPS DARLODDY P,11,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010802902,TWPS LINGIGUDA,14,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010802904,TWPS DHAHIGUDA,11,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010802905,MPUPS PIPPALDHARI,51,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010802906,TWPS BOPPAPUR,12,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010803002,TWPS WANWAT,20,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010803006,TW ASHRAM HIGH SCHOOL GIRLS MAMDIGUDA,349,75000,54000,12750,8250
ADILABAD,ADILABAD (RURAL),36010803007,TWUPS MAMDIGUDA,69,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010803008,TW ASHRAM HIGH SCHOOL WANWAT,211,50000,36000,8500,5500
ADILABAD,ADILABAD (RURAL),36010803201,TWPS POTHAGUDA,103,50000,36000,8500,5500
ADILABAD,ADILABAD (RURAL),36010803207,MPPS KHANDALA(U),34,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010803208,MPPS LOHARA,63,25000,18000,4250,2750
ADILABAD,ADILABAD (RURAL),36010803701,TWPS ALLIKORI,18,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010803703,TWPS KHANAPOOR,12,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010803704,TW ASHRAM HIGH SCHOOL KHANAPOOR,195,50000,36000,8500,5500
ADILABAD,ADILABAD (RURAL),36010803706,MPPS HATHIGUTTA,15,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010803707,TWPS BORINGGUDA,18,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36010803709,MPPS TIPPA,15,10000,7200,1700,1100
ADILABAD,ADILABAD (RURAL),36014102368,TWPS MAMIDIKHORI,12,10000,7200,1700,1100
ADILABAD,ADILABAD (URBAN),36010801802,MPUPS ANUKUNTA,47,25000,18000,4250,2750
ADILABAD,ADILABAD (URBAN),36010801805,MPPS BANGARIGUDA ANUKUNTA,166,50000,36000,8500,5500
ADILABAD,ADILABAD (URBAN),36010801807,TGMS BANGARIGUDA ADILABAD,712,75000,54000,12750,8250
ADILABAD,ADILABAD (URBAN),36010801808,MPPS BANGARIGUDA (UM),115,50000,36000,8500,5500
ADILABAD,ADILABAD (URBAN),36010900101,GOVT. PS BALAK MANDIR,148,50000,36000,8500,5500
